MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974518,37.7924806,-0.0190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,58.2740000,0.0179125,0.1283235,0.0199153
MsgID.LOCAL_VELOCITY,58.2740000,-0.0000007,-0.0000051,0.0000109
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924808,-0.0380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,58.5250000,0.0390542,0.1520617,0.0381409
MsgID.LOCAL_VELOCITY,58.5250000,-0.0000065,-0.0000159,0.0000092
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924816,-0.0550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,58.7750000,0.1370388,0.2575789,0.0564772
MsgID.LOCAL_VELOCITY,58.7750000,0.0000008,-0.0000170,0.0000063
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924808,-0.0670000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,59.0250000,0.0453692,0.4254817,0.0674715
MsgID.LOCAL_VELOCITY,59.0250000,0.0000094,0.0000074,0.0000037
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924793,-0.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,59.2750000,-0.1292129,0.3205654,0.0706408
MsgID.LOCAL_VELOCITY,59.2750000,0.0000090,0.0000055,0.0000024
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924789,-0.0630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,59.5250000,-0.1712457,0.1575733,0.0634642
MsgID.LOCAL_VELOCITY,59.5250000,0.0000182,-0.0000125,0.0000060
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924808,-0.0430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,59.7750000,0.0455956,0.2110564,0.0437650
MsgID.LOCAL_VELOCITY,59.7750000,0.0000148,-0.0000099,0.0000004
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924812,-0.0180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,60.0250000,0.0829410,0.3064600,0.0180447
MsgID.LOCAL_VELOCITY,60.0250000,-0.0000011,-0.0000317,0.0000132
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924798,0.0170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,60.2750000,-0.0700646,0.1948493,-0.0173888
MsgID.LOCAL_VELOCITY,60.2750000,-0.0000096,-0.0000256,0.0000129
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924789,0.0490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,60.5250000,-0.1704977,0.2009835,-0.0493161
MsgID.LOCAL_VELOCITY,60.5250000,0.0000081,-0.0000028,0.0000096
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924800,0.0810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
